Interne ID;Kunden-ID;Zentrale;Name;Straße;PLZ;Ort;BL/Region;AD-Außendienst / RFE-Merchandiser;RFE - letzter Besuch;Besuchsintervall in Tagen;RFE-Level;Channel
123;34800;DE EXPERT GERMANY;expert Wangen GmbH;Lindauer Straße 9;88239;Wangen im Allgäu;BW;Ertan Kaya (AD), Markus Lammer (AD), Ronny Gornik (RFE);;;D;Expert
124;M024;DE MSH GERMANY;MediaMarkt;Tituscorso 6;60439;Frankfurt am Main;HE;Marcus Beykirch (AD), Markus Lammer (AD), Paul Janzen (RFE);01.02.2022;21;A;Media Markt
129;M075;DE MSH GERMANY;MediaMarkt;Frauenauracher Straße 108;91056;Erlangen;BY;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);12.01.2024;90;C;Media Markt
132;M295;DE MSH GERMANY;MediaMarkt;Europaplatz 1;10557;Berlin;BE;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Benjamin Steffens (RFE);08.07.2022;90;C;Media Markt
134;S344;DE MSH GERMANY;SATURN;Duckwitzstraße 55;28199;Bremen;HB;Markus Lammer (AD), Tatjana Treppesch (AD), Frank Friedrich (RFE);29.03.2023;180;D;Saturn
140;22000;DE EXPERT GERMANY;expert Neustadt am Rübenberge;Justus-von-Liebig-Straße 19;31535;Neustadt am Rübenberge;NI;Peter Grosse (AD), Markus Lammer (AD), Frank Friedrich (RFE);;;E - nicht besuchen;Expert
142;44202;DE EXPERT GERMANY;expert HERFAG Elektrotechnik GmbH;Landgrabenstraße 6A;99734;Nordhausen;TH;Marco Kolibius (AD), Markus Lammer (AD), Paul Janzen (RFE);;;E - nicht besuchen;Expert
143;225630;DE EURONICS GERMANY;EURONICS XXL Döbeln;Richard-Köberlin-Straße 5;4720;Döbeln;SN;Marco Kolibius (AD), Markus Lammer (AD), Benjamin Steffens (RFE);;;D;Euronics
154;S353;DE MSH GERMANY;SATURN;Odenwaldring 70;63069;Offenbach;HE;Marcus Beykirch (AD), Markus Lammer (AD), Paul Janzen (RFE);28.02.2024;42;B;Saturn
160;48500;DE EXPERT GERMANY;expert Leipzig;Miltitzer Straße 13;4178;Leipzig;SN;Marco Kolibius (AD), Markus Lammer (AD), Benjamin Steffens (RFE);;;D;Expert
161;M141;DE MSH GERMANY;MediaMarkt;Talstraße 38d;66424;Homburg;SL;Marcus Beykirch (AD), Markus Lammer (AD), Ronny Gornik (RFE);07.11.2023;42;B;Media Markt
166;M010;DE MSH GERMANY;MediaMarkt;Spinnereistraße 4;95445;Bayreuth;BY;Marco Kolibius (AD), Markus Lammer (AD), Robin Schürmann (RFE);08.08.2023;21;A;Media Markt
167;72900;DE EXPERT GERMANY;Expert;Jandelsbrunner Straße 41;94065;Waldkirchen;BY;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);;;E - nicht besuchen;Expert
171;M128;DE MSH GERMANY;MediaMarkt;3-K-Weg 25a;28816;Stuhr;NI;Markus Lammer (AD), Tatjana Treppesch (AD), Frank Friedrich (RFE);27.02.2024;42;B;Media Markt
172;M304;DE MSH GERMANY;MediaMarkt;Mühlweg 5;73525;Schwäbisch Gmünd;BW;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);18.10.2023;90;C;Media Markt
173;216042;DE EURONICS GERMANY;EURONICS XXL Glauchau;Waldenburger Straße 97;8371;Glauchau;SN;Marco Kolibius (AD), Markus Lammer (AD), Benjamin Steffens (RFE);;;E - nicht besuchen;EP
176;M094;DE MSH GERMANY;MediaMarkt;Friedrich-Rätzer-Straße 3;97424;Schweinfurt;BY;Marco Kolibius (AD), Markus Lammer (AD), Robin Schürmann (RFE);20.07.2023;90;C;Media Markt
179;1157690;DE ELECTRONIC PARTNER GERMANY;MEDIMAX Asbach;Anton-Limbach-Straße 2-4;53567;Asbach;RP;Tim Flink (AD), Markus Lammer (AD), Hakim Kouji (RFE);;;E - nicht besuchen;EP
181;215204;DE EURONICS GERMANY;EURONICS XXL Niebüll;Ostring 7;25899;Niebüll;SH;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Frank Friedrich (RFE);;;E - nicht besuchen;Euronics
183;1207280;DE ELECTRONIC PARTNER GERMANY;MEDIMAX Waldshut-Tiengen;Industriestraße 1;79761;Waldshut-Tiengen;BW;Ertan Kaya (AD), Markus Lammer (AD), Ronny Gornik (RFE);;;E - nicht besuchen;EP
185;83802;DE EXPERT GERMANY;expert Pötzsch;Westbogen 3;4910;Elsterwerda;BB;Marco Kolibius (AD), Markus Lammer (AD), Benjamin Steffens (RFE);;;E - nicht besuchen;Expert
189;M239;DE MSH GERMANY;MediaMarkt;Willinghusener Weg 1;22113;Oststeinbek;SH;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Frank Friedrich (RFE);05.03.2024;90;C;Media Markt
192;1202140;DE ELECTRONIC PARTNER GERMANY;MEDIMAX Elsterwerda;Lauchhammer Straße 60;4910;Elsterwerda;BB;Marco Kolibius (AD), Markus Lammer (AD), Benjamin Steffens (RFE);;;E - nicht besuchen;EP
193;215599;DE EURONICS GERMANY;EURONICS XXL Böseleger;Westring 8;27793;Wildeshausen;NI;Markus Lammer (AD), Tatjana Treppesch (AD), Frank Friedrich (RFE);;;D;Euronics
195;25600;DE EXPERT GERMANY;expert TeVi Passau;Äußere Spitalhofstraße 15;94036;Passau;BY;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);;;E - nicht besuchen;Expert
196;28300;DE EXPERT GERMANY;Expert;Dieselstraße 5a;86368;Gersthofen;BY;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);;;D;Expert
199;215160;DE EURONICS GERMANY;EURONICS XXL Wittmund;Barghamm 17;26409;Wittmund;NI;Markus Lammer (AD), Tatjana Treppesch (AD), Frank Friedrich (RFE);;;E - nicht besuchen;Euronics
209;M158;DE MSH GERMANY;MediaMarkt;Friedrich-Engels-Allee 34;42103;Wuppertal;NW;Tim Flink (AD), Markus Lammer (AD), Hakim Kouji (RFE);16.02.2024;21;A;Media Markt
214;S096;DE MSH GERMANY;SATURN;Steinsetzerstraße 13;28279;Bremen;HB;Markus Lammer (AD), Tatjana Treppesch (AD), Frank Friedrich (RFE);30.01.2024;90;C;Saturn
221;33500;DE EXPERT GERMANY;expert klein;Gottlieb-Daimler-Straße 14;35398;Gießen;HE;Marcus Beykirch (AD), Markus Lammer (AD), Paul Janzen (RFE);;;E - nicht besuchen;Expert
222;S047;DE MSH GERMANY;SATURN;Willy-Brandt-Platz 6;44532;Lünen;NW;Markus Lammer (AD), Tatjana Treppesch (AD), Hakim Kouji (RFE);12.10.2023;90;C;Saturn
227;S091;DE MSH GERMANY;SATURN;Veybachstraße 3;53879;Euskirchen;NW;Tim Flink (AD), Markus Lammer (AD), Hakim Kouji (RFE);23.02.2024;90;C;Saturn
232;1155210;DE ELECTRONIC PARTNER GERMANY;MEDIMAX Merseburg;Kollenbeyer Weg 2 d;6217;Merseburg;ST;Marco Kolibius (AD), Markus Lammer (AD), Benjamin Steffens (RFE);;;E - nicht besuchen;EP
233;MXXX;DE MSH GERMANY;MediaMarkt;Giegler-Pascha-Straße 2;97421;Schweinfurt;BY;Marco Kolibius (AD), Markus Lammer (AD), Robin Schürmann (RFE);;;;
235;75700;DE EXPERT GERMANY;expert Simmerath - expert Gröblinghoff GmbH;Humboldtstraße 14-16;52152;Simmerath;NW;Tim Flink (AD), Markus Lammer (AD), Hakim Kouji (RFE);;;E - nicht besuchen;Expert
245;34003;DE EXPERT GERMANY;expert Westküste;Kaufhausstraße 1;25541;Brunsbüttel;SH;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Frank Friedrich (RFE);;;E - nicht besuchen;Expert
247;S027;DE MSH GERMANY;SATURN;Mönckebergstraße 1;20095;Hamburg;HH;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Frank Friedrich (RFE);26.03.2024;21;A;Saturn
249;1100019;DE EURONICS GERMANY;EURONICS XXL Ravensburg;Ulmer Straße 7;88212;Ravensburg;BW;Ertan Kaya (AD), Markus Lammer (AD), Ronny Gornik (RFE);;;E - nicht besuchen;Euronics
252;M307;DE MSH GERMANY;MediaMarkt;Heinkelstraße 25;73614;Schorndorf;BW;Ertan Kaya (AD), Markus Lammer (AD), Ronny Gornik (RFE);13.10.2023;42;B;Media Markt
255;215477;DE EURONICS GERMANY;ProMarkt - Outlet - ehemals EURONICS XXL Sangerhausen;Landweg 2;6526;Sangerhausen;ST;Marco Kolibius (AD), Markus Lammer (AD), Benjamin Steffens (RFE);;;D;Euronics
258;33600;DE EXPERT GERMANY;expert klein;Dieselstraße 5;61169;Friedberg;HE;Marcus Beykirch (AD), Markus Lammer (AD), Paul Janzen (RFE);18.09.2023;90;C;Expert
259;56005;DE EXPERT GERMANY;expert Wismar;Zierower Landstraße 3;23968;Wismar;MV;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Frank Friedrich (RFE);;;E - nicht besuchen;Expert
273;1074140;DE ELECTRONIC PARTNER GERMANY;MEDIMAX Berlin-Marzahn Hellersdorf;Hellersdorfer Straße 77-83;12619;Berlin;BE;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Benjamin Steffens (RFE);;;D;EP
277;M208;DE MSH GERMANY;MediaMarkt;Chemnitzer Straße 33;67433;Neustadt an der Weinstraße;RP;Marcus Beykirch (AD), Markus Lammer (AD), Ronny Gornik (RFE);23.08.2023;90;C;Media Markt
290;S303;DE MSH GERMANY;SATURN;Platz am Ritterbrunnen 1;38100;Braunschweig;NI;Peter Grosse (AD), Markus Lammer (AD), Frank Friedrich (RFE);01.02.2024;21;A;Saturn
292;M050;DE MSH GERMANY;MediaMarkt;Feldstraße 32;32457;Porta Westfalica;NW;Peter Grosse (AD), Markus Lammer (AD), Paul Janzen (RFE);20.02.2024;21;A;Media Markt
293;S005;DE MSH GERMANY;SATURN;Papenstraße 5;28195;Bremen;HB;Markus Lammer (AD), Tatjana Treppesch (AD), Frank Friedrich (RFE);21.03.2024;21;A;Saturn
298;M294;DE MSH GERMANY;MediaMarkt;Seestraße 7;27755;Delmenhorst;NI;Markus Lammer (AD), Tatjana Treppesch (AD), Frank Friedrich (RFE);29.03.2023;90;C;Media Markt
300;M068;DE MSH GERMANY;MediaMarkt;Friedrich-Ebert-Damm 110;22047;Hamburg;HH;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Frank Friedrich (RFE);19.03.2024;21;A;Media Markt
302;M044;DE MSH GERMANY;MediaMarkt;Floßwörthstraße 65;68199;Mannheim;BW;Marcus Beykirch (AD), Markus Lammer (AD), Ronny Gornik (RFE);19.10.2023;42;B;Media Markt
303;1100540;DE EURONICS GERMANY;Euronics Berlet Unna;Hans-Böckler-Straße 4;59423;Unna;NW;Peter Grosse (AD), Markus Lammer (AD), Hakim Kouji (RFE);16.02.2024;90;C;Euronics
306;52400;DE EXPERT GERMANY;Expert;Lenzburger Straße 4+5;79761;Waldshut-Tiengen;BW;Ertan Kaya (AD), Markus Lammer (AD), Ronny Gornik (RFE);;;D;Expert
323;M234;DE MSH GERMANY;MediaMarkt;Tempelhofer Damm 227;12099;Berlin;BE;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Benjamin Steffens (RFE);20.04.2022;42;B;Media Markt
324;83200;DE EXPERT GERMANY;expert Döring Löhne;Lübbecker Straße 98-100;32584;Löhne;NW;Peter Grosse (AD), Markus Lammer (AD), Paul Janzen (RFE);;;E - nicht besuchen;Expert
325;1161120;DE ELECTRONIC PARTNER GERMANY;MEDIMAX Frankfurt/Oder;Karl-Marx-Straße 194;15230;Frankfurt (Oder);BB;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Benjamin Steffens (RFE);;;D;EP
333;23000;DE EXPERT GERMANY;Expert;Dinkelsbühler Straße 22;91555;Feuchtwangen;BY;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);;;E - nicht besuchen;Expert
334;M209;DE MSH GERMANY;MediaMarkt;Breitenbachstraße 50;41065;Mönchengladbach;NW;Tim Flink (AD), Markus Lammer (AD), Hakim Kouji (RFE);18.12.2023;42;B;Media Markt
337;39500;DE EXPERT GERMANY;Expert;Emsstraße 3 - 7;26135;Oldenburg (Oldenburg);NI;Markus Lammer (AD), Tatjana Treppesch (AD), Frank Friedrich (RFE);;;E - nicht besuchen;Expert
338;S038;DE MSH GERMANY;SATURN;Neuhauser Straße 39;80331;München;BY;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);05.03.2024;21;A;Saturn
342;M296;DE MSH GERMANY;MediaMarkt;Wolfgang-Brumme-Allee 27;71034;Böblingen;BW;Ertan Kaya (AD), Markus Lammer (AD), Ronny Gornik (RFE);17.10.2023;42;B;Media Markt
345;20400;DE EXPERT GERMANY;Expert;Jahnstraße 22;31655;Stadthagen;NI;Peter Grosse (AD), Markus Lammer (AD), Paul Janzen (RFE);;;E - nicht besuchen;Expert
347;M114;DE MSH GERMANY;MediaMarkt;Im Wendelrot 5;76646;Bruchsal;BW;Marcus Beykirch (AD), Markus Lammer (AD), Ronny Gornik (RFE);10.11.2023;21;A;Media Markt
348;M080;DE MSH GERMANY;MediaMarkt;Brandgehaege 3;38444;Wolfsburg;NI;Peter Grosse (AD), Markus Lammer (AD), Frank Friedrich (RFE);31.01.2024;21;A;Media Markt
352;M227;DE MSH GERMANY;MediaMarkt;Konrad-Adenauer-Ring 95;41464;Neuss;NW;Tim Flink (AD), Markus Lammer (AD), Hakim Kouji (RFE);16.02.2024;90;C;Media Markt
356;M264;DE MSH GERMANY;MediaMarkt;Friedensplatz 1;53111;Bonn;NW;Tim Flink (AD), Markus Lammer (AD), Hakim Kouji (RFE);;;X - unknown;Media Markt
364;50900;DE EXPERT GERMANY;expert Schmalkalden;Haindorfsgasse 3;98574;Schmalkalden;TH;Marco Kolibius (AD), Markus Lammer (AD), Paul Janzen (RFE);;;D;EP
373;M155;DE MSH GERMANY;MediaMarkt;Anklamer Landstraße 1;17491;Greifswald;MV;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Benjamin Steffens (RFE);25.08.2023;42;B;Media Markt
374;M037;DE MSH GERMANY;MediaMarkt;Mergenthalerstraße 1;24223;Schwentinental;SH;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Frank Friedrich (RFE);05.10.2021;42;B;Media Markt
376;50300;DE EXPERT GERMANY;Expert;Stuttgarter Straße 14;75365;Calw;BW;Ertan Kaya (AD), Markus Lammer (AD), Ronny Gornik (RFE);;;E - nicht besuchen;Expert
381;M232;DE MSH GERMANY;MediaMarkt;Florenzer Straße 24-28;50765;Köln;NW;Tim Flink (AD), Markus Lammer (AD), Hakim Kouji (RFE);08.06.2021;;B;Media Markt
388;22801;DE EXPERT GERMANY;expert ESC Bischofswerda;Carl-Maria-von-Weber-Straße 24;1877;Bischofswerda;SN;Marco Kolibius (AD), Markus Lammer (AD), Benjamin Steffens (RFE);;;E - nicht besuchen;Expert
397;S022;DE MSH GERMANY;Saturn;Voßstraße 4;10117;Berlin;BE;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Benjamin Steffens (RFE);14.08.2023;21;A;Saturn
399;61901;DE EXPERT GERMANY;expert Elektro R. Meyer;Friedrich-Hecker-Straße 1-5;66113;Saarbrücken;SL;Marcus Beykirch (AD), Markus Lammer (AD), Ronny Gornik (RFE);;;E - nicht besuchen;Expert
401;M054;DE MSH GERMANY;MediaMarkt;Am Einkaufszentrum 10;44791;Bochum;NW;Markus Lammer (AD), Tatjana Treppesch (AD), Hakim Kouji (RFE);04.09.2023;21;A;Media Markt
402;S048;DE MSH GERMANY;SATURN;Willy-Brandt-Platz 1;86153;Augsburg;BY;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);26.01.2024;42;B;Saturn
406;49500;DE EXPERT GERMANY;HEM expert Bad Mergentheim;Boxberger Straße 1-5;97980;Bad Mergentheim;BW;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);;;D;Expert
410;501204;DE EURONICS GERMANY;EURONICS XXL Wedel;Rissener Straße 125;22880;Wedel;SH;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Frank Friedrich (RFE);;;E - nicht besuchen;Euronics
414;M306;DE MSH GERMANY;MediaMarkt;Sulzbacher Straße 130;71522;Backnang;BW;Ertan Kaya (AD), Markus Lammer (AD), Ronny Gornik (RFE);30.01.2024;90;C;Media Markt
422;1232160;DE EXPERT GERMANY;R&C Elektronik Medimax Auerbach Inh. Matthias Richter;Herrenwiese 3;8209;Auerbach/Vogtland;SN;Marco Kolibius (AD), Markus Lammer (AD), Benjamin Steffens (RFE);;;D;EP
424;S209;DE MSH GERMANY;SATURN;Adalbertstraße 100;52062;Aachen;NW;Tim Flink (AD), Markus Lammer (AD), Hakim Kouji (RFE);20.09.2023;42;B;Saturn
428;M043;DE MSH GERMANY;MediaMarkt;Hebelstraße 22;69115;Heidelberg;BW;Marcus Beykirch (AD), Markus Lammer (AD), Ronny Gornik (RFE);13.12.2023;90;C;Media Markt
430;76100;DE EXPERT GERMANY;Expert;Im Taubental 36;41468;Neuss;NW;Tim Flink (AD), Markus Lammer (AD), Hakim Kouji (RFE);;;D;Expert
432;62100;DE EXPERT GERMANY;Expert Sonthofen GmbH;Rudolf-Diesel-Straße 7;87527;Sonthofen;BY;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);;;D;Expert
439;M061;DE MSH GERMANY;MediaMarkt;Wilhelm-Becker-Straße 15;75179;Pforzheim;BW;Ertan Kaya (AD), Markus Lammer (AD), Ronny Gornik (RFE);05.03.2024;42;B;Media Markt
449;56300;DE EXPERT GERMANY;expert Schaper Damme;Große Straße 68;49401;Damme;NI;Markus Lammer (AD), Tatjana Treppesch (AD), Frank Friedrich (RFE);;;E - nicht besuchen;EP
454;44200;DE EXPERT GERMANY;Expert;Lutherstraße 23;37327;Leinefelde;TH;Peter Grosse (AD), Markus Lammer (AD), Paul Janzen (RFE);;;E - nicht besuchen;Expert
461;204978;DE EURONICS GERMANY;Telekom Lounge FUNK;Bezirkstraße 112;66663;Merzig;SL;Marcus Beykirch (AD), Markus Lammer (AD), Ronny Gornik (RFE);;;D;Euronics
462;S007;DE MSH GERMANY;SATURN;Bahnhofstraße 48;45879;Gelsenkirchen;NW;Markus Lammer (AD), Tatjana Treppesch (AD), Hakim Kouji (RFE);10.11.2021;90;C;Saturn
465;56500;DE EXPERT GERMANY;expert Zeiller;Siemensstraße 1;84478;Waldkraiburg;BY;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);;;E - nicht besuchen;Expert
466;M078;DE MSH GERMANY;MediaMarkt;Hedwig-Laudien-Ring 2;67071;Ludwigshafen am Rhein;RP;Marcus Beykirch (AD), Markus Lammer (AD), Ronny Gornik (RFE);06.12.2023;21;A;Media Markt
467;36200;DE EXPERT GERMANY;expert Bening Verden;Conrad-Wode-Straße 2;27283;Verden (Aller);NI;Markus Lammer (AD), Tatjana Treppesch (AD), Frank Friedrich (RFE);;;E - nicht besuchen;Expert
468;M175;DE MSH GERMANY;MediaMarkt;Münchener Straße 75;82362;Weilheim in Oberbayern;BY;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);12.03.2024;21;A;Media Markt
470;M102;DE MSH GERMANY;MediaMarkt NUERNBERG LANGWASSER;Oppelner Straße 213;90473;Nürnberg;BY;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);04.03.2024;42;B;Media Markt
477;M260;DE MSH GERMANY;MediaMarkt;Am Bergsteig 1;92224;Amberg;BY;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);23.10.2023;42;B;Media Markt
478;S049;DE MSH GERMANY;SATURN;Kaiserstrasse 211;76133;Karlsruhe;BW;Marcus Beykirch (AD), Markus Lammer (AD), Ronny Gornik (RFE);25.10.2023;21;A;Saturn
479;1155690;DE ELECTRONIC PARTNER GERMANY;MEDIMAX Oranienburg;Friedensstraße 6 - 8;16515;Oranienburg;BB;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Benjamin Steffens (RFE);;;E - nicht besuchen;EP
480;M205;DE MSH GERMANY;MEDIA MARKT ERFURT DABERSTEDT;Hermsdorfer Straße 4;99099;Erfurt;TH;Marco Kolibius (AD), Markus Lammer (AD), Paul Janzen (RFE);09.01.2024;180;D;Media Markt
481;M293;DE MSH GERMANY;MediaMarkt;Albert-Schweitzer-Straße 1;38226;Salzgitter;NI;Peter Grosse (AD), Markus Lammer (AD), Paul Janzen (RFE);24.01.2024;180;D;Media Markt
485;M144;DE MSH GERMANY;MediaMarkt;Main-Taunus-Zentrum;65843;Sulzbach;HE;Marcus Beykirch (AD), Markus Lammer (AD), Paul Janzen (RFE);23.01.2024;21;A;Media Markt
486;M190;DE MSH GERMANY;MediaMarkt;Metro-Straße 16;40235;Düsseldorf;NW;Tim Flink (AD), Markus Lammer (AD), Hakim Kouji (RFE);23.02.2024;42;B;Media Markt
488;M173;DE MSH GERMANY;MediaMarkt;Rudolf-Walther-Straße 6;63584;Gründau;HE;Marcus Beykirch (AD), Markus Lammer (AD), Paul Janzen (RFE);05.01.2024;42;B;Media Markt
489;1101392;DE EURONICS GERMANY;EURONICS XXL;Sepp-Verscht-Straße 1;4463;Großpösna;SN;Marco Kolibius (AD), Markus Lammer (AD), Benjamin Steffens (RFE);;;E - nicht besuchen;Euronics
